time;users;sessions;newusers;crashes
22.12.18 09:00;64;60;5;0
22.12.18 10:00;79;84;8;0
22.12.18 11:00;97;102;22;0
22.12.18 12:00;107;102;13;0
22.12.18 13:00;105;117;10;2
22.12.18 14:00;111;112;8;0
22.12.18 15:00;109;105;10;0
22.12.18 16:00;119;133;12;3
22.12.18 17:00;121;122;15;2
22.12.18 18:00;123;126;15;0
22.12.18 19:00;118;102;10;2
22.12.18 20:00;128;119;17;2
22.12.18 21:00;119;106;11;1
22.12.18 22:00;107;99;8;2
22.12.18 23:00;109;101;15;1
23.12.18 00:00;87;73;6;0
23.12.18 01:00;86;72;7;0
23.12.18 02:00;69;67;3;0
23.12.18 03:00;56;47;2;0
23.12.18 04:00;46;38;5;0
23.12.18 05:00;47;38;5;0
23.12.18 06:00;39;27;1;0
23.12.18 07:00;36;32;4;0
23.12.18 08:00;38;38;5;0
23.12.18 09:00;50;48;5;0
23.12.18 10:00;57;51;12;0
23.12.18 11:00;55;58;11;0
23.12.18 12:00;63;61;6;0
23.12.18 13:00;77;63;8;0
23.12.18 14:00;70;55;12;1
23.12.18 15:00;83;85;15;0
23.12.18 16:00;73;67;11;0
23.12.18 17:00;75;70;14;0
23.12.18 18:00;79;86;14;0
23.12.18 19:00;69;70;10;0
23.12.18 20:00;87;82;19;0
23.12.18 21:00;81;74;8;0
23.12.18 22:00;79;68;9;1
23.12.18 23:00;72;78;7;1
24.12.18 00:00;69;65;5;1
24.12.18 01:00;65;52;2;0
24.12.18 02:00;62;52;5;0
24.12.18 03:00;50;34;3;0
24.12.18 04:00;42;33;1;1
24.12.18 05:00;37;34;2;0
24.12.18 06:00;43;42;6;0
24.12.18 07:00;36;30;5;0
24.12.18 08:00;47;45;4;0
24.12.18 09:00;45;38;4;0
24.12.18 10:00;55;51;3;0
24.12.18 11:00;73;82;12;0
24.12.18 12:00;87;85;15;0
24.12.18 13:00;81;89;9;0
24.12.18 14:00;90;94;7;0
24.12.18 15:00;96;91;8;0
24.12.18 16:00;82;78;7;0
24.12.18 17:00;97;102;7;0
24.12.18 18:00;91;114;10;0
24.12.18 19:00;111;123;9;0
24.12.18 20:00;93;105;3;0
24.12.18 21:00;92;80;9;0
24.12.18 22:00;74;57;7;0
24.12.18 23:00;58;58;5;0
25.12.18 00:00;50;45;4;0
25.12.18 01:00;43;43;6;0
25.12.18 02:00;39;39;2;2
25.12.18 03:00;30;23;3;0
25.12.18 04:00;26;26;3;0
25.12.18 05:00;38;37;2;0
25.12.18 06:00;41;42;7;0
25.12.18 07:00;42;38;5;0
25.12.18 08:00;39;45;4;0
25.12.18 09:00;39;31;3;0
25.12.18 10:00;49;52;5;0
25.12.18 11:00;46;47;7;1
25.12.18 12:00;49;60;5;0
25.12.18 13:00;57;62;6;0
25.12.18 14:00;56;75;10;2
25.12.18 15:00;57;71;14;0
25.12.18 16:00;45;57;9;0
25.12.18 17:00;47;59;6;0
25.12.18 18:00;42;46;10;0
25.12.18 19:00;41;40;10;0
25.12.18 20:00;44;43;14;0
25.12.18 21:00;35;31;10;0
25.12.18 22:00;46;47;13;0
25.12.18 23:00;39;33;4;0
26.12.18 00:00;45;50;7;1
26.12.18 01:00;35;34;4;0
26.12.18 02:00;36;28;4;0
26.12.18 03:00;36;34;7;0
26.12.18 04:00;33;36;1;0
26.12.18 05:00;37;30;3;0
26.12.18 06:00;42;44;4;0
26.12.18 07:00;43;47;3;0
26.12.18 08:00;49;59;5;0
26.12.18 09:00;54;47;6;2
26.12.18 10:00;61;54;7;1
26.12.18 11:00;68;69;9;0
26.12.18 12:00;75;74;8;0
26.12.18 13:00;74;81;15;1
26.12.18 14:00;86;85;12;0
26.12.18 15:00;108;121;17;0
26.12.18 16:00;101;101;16;0
26.12.18 17:00;99;100;14;0
26.12.18 18:00;118;148;15;1
26.12.18 19:00;102;90;11;1
26.12.18 20:00;97;109;14;0
26.12.18 21:00;113;121;12;1
26.12.18 22:00;94;95;9;1
26.12.18 23:00;88;80;4;0
27.12.18 00:00;89;110;10;0
27.12.18 01:00;87;82;7;0
27.12.18 02:00;82;76;6;0
27.12.18 03:00;61;50;1;0
27.12.18 04:00;65;55;8;0
27.12.18 05:00;48;44;2;0
27.12.18 06:00;51;54;4;0
27.12.18 07:00;55;62;5;0
27.12.18 08:00;59;60;9;0
27.12.18 09:00;65;59;3;0
27.12.18 10:00;67;66;6;0
27.12.18 11:00;79;81;14;0
27.12.18 12:00;72;60;6;0
27.12.18 13:00;97;103;15;0
27.12.18 14:00;106;102;16;0
27.12.18 15:00;121;112;15;0
27.12.18 16:00;126;115;13;1
27.12.18 17:00;118;100;10;0
27.12.18 18:00;125;96;15;0
27.12.18 19:00;129;115;14;0
27.12.18 20:00;125;130;11;0
27.12.18 21:00;119;120;13;0
27.12.18 22:00;126;113;11;0
27.12.18 23:00;98;87;8;0
28.12.18 00:00;97;93;9;0
28.12.18 01:00;90;98;3;2
28.12.18 02:00;85;85;9;6
28.12.18 03:00;80;65;5;1
28.12.18 04:00;61;58;5;0
28.12.18 05:00;53;48;3;1
28.12.18 06:00;50;45;4;4
28.12.18 07:00;50;43;6;0
28.12.18 08:00;63;57;10;0
28.12.18 09:00;67;63;15;0
28.12.18 10:00;72;57;12;0
28.12.18 11:00;86;77;11;0
28.12.18 12:00;82;69;10;0
28.12.18 13:00;76;68;6;0
28.12.18 14:00;103;112;13;1
28.12.18 15:00;110;115;8;0
28.12.18 16:00;141;132;17;0
28.12.18 17:00;126;111;10;1
28.12.18 18:00;130;125;17;1
28.12.18 19:00;114;105;7;0
28.12.18 20:00;114;110;17;1
28.12.18 21:00;112;117;16;0
28.12.18 22:00;102;90;12;0
28.12.18 23:00;103;88;9;0
29.12.18 00:00;99;87;9;2
29.12.18 01:00;91;68;4;0
29.12.18 02:00;87;75;6;0
29.12.18 03:00;73;66;9;0
29.12.18 04:00;57;45;5;0
29.12.18 05:00;40;34;6;0
29.12.18 06:00;48;41;8;0
29.12.18 07:00;44;37;3;0
29.12.18 08:00;38;40;1;0
29.12.18 09:00;18;8;1;0